file_name,match_on_line,line_content
Temperature_and_mood.html,619,"</p><p>Nummenmaa, L., Glerean, E., Hari, R., &amp; Hietanen, J. K. (2014). Bodily maps of emotions. <i>Proceedings Of The National Academy Of Sciences Of The United States Of America, 111</i>(2), 646-651. doi:10.1073/pnas.1321664111
"
Test_of_term.html,403,"<p>74. <a href=""https://en.wikipedia.org/wiki/Interminority_racism_in_the_United_States_of_America"" class=""extiw"" title=""w:Interminority racism in the United States of America"">Interminority racism in the United States of America</a>
"
The_Buzz_on_Maggie.html,47,"		<div id=""mw-content-text"" lang=""en"" dir=""ltr"" class=""mw-content-ltr""><div class=""mw-parser-output""><p><i><b>The Buzz on Maggie</b></i> is a <a href=""/wiki/Canada"" class=""mw-redirect"" title=""Canada"">Canadian</a>/<a href=""/w/index.php?title=United_States_Of_America&amp;action=edit&amp;redlink=1"" class=""new"" title=""United States Of America (page does not exist)"">American</a>    <a href=""/w/index.php?title=Cartoon_series&amp;action=edit&amp;redlink=1"" class=""new"" title=""Cartoon series (page does not exist)"">animated television series</a> which originally aired for 21 episodes between June 2005 and June 2006.
"
The_Effect_of_Animal_Cruelty_Allegations_in_Sport.html,124,"<li id=""cite_note-Graves-2""><span class=""mw-cite-backlink"">↑ <sup><a href=""#cite_ref-Graves_2-0"">2.0</a></sup> <sup><a href=""#cite_ref-Graves_2-1"">2.1</a></sup> <sup><a href=""#cite_ref-Graves_2-2"">2.2</a></sup></span> <span class=""reference-text"">Graves, Melody, Ropes, Reins, And Rawhide: All About Rodeo, University of New Mexico Press, United States of America, 2006, p. 3-4</span>
"
The_Great_American_Paradox.html,91,"<dl><dd>2.  Citizen-directed subsidies for newspapers provided by the <a href=""https://en.wikipedia.org/wiki/Postal_Service_Act"" class=""extiw"" title=""w:Postal Service Act"">US Postal Service Act of 1792</a> helped limit political corruption and encourage literacy, both of which contributed to the cohesion and economic growth of the brand new United States of America.</dd></dl>
"
The_Great_American_Paradox.html,158,"<li id=""cite_note-7""><span class=""mw-cite-backlink""><a href=""#cite_ref-7"">↑</a></span> <span class=""reference-text"">Even the <a href=""https://en.wikipedia.org/wiki/United_States_Bill_of_Rights"" class=""extiw"" title=""w:United States Bill of Rights"">US Bill of Rights</a> was not uniquely American:  The common citizens of the brand new United States of American <i>demanded</i> that they retain the rights they had had under legal documents like the <a href=""https://en.wikipedia.org/wiki/Bill_of_Rights_1689"" class=""extiw"" title=""w:Bill of Rights 1689"">English Bill of Rights of 1689</a>, which itself updated and secured rights English citizens had officially had since the <a href=""https://en.wikipedia.org/wiki/Magna_Carta"" class=""extiw"" title=""w:Magna Carta"">Magna Carta of 1215</a>.  And the rights promised by the US Bill of Rights were too often only unenforceable words on paper until the <a href=""https://en.wikipedia.org/wiki/American_Civil_Liberties_Union"" class=""extiw"" title=""w:American Civil Liberties Union"">American Civil Liberties Union (ACLU)</a> initiated a program of litigation, activism and education following its founding in 1920.</span>
"
The_Hippocampus.html,671,"<li id=""cite_note-Maguire-58""><span class=""mw-cite-backlink""><a href=""#cite_ref-Maguire_58-0"">↑</a></span> <span class=""reference-text""><span class=""citation Journal"">Maguire EA&#59;&#32;Gadian DG&#59;&#32;Johnsrude IS&#59;&#32;Good CD&#59;&#32;Ashburner J&#59;&#32;Frackowiak RS&#59;&#32;Frith CD&#32;(Apr 2000).&#32;<a rel=""nofollow"" class=""external text"" href=""//www.ncbi.nlm.nih.gov/pmc/articles/PMC18253/"">""Navigation-related structural change in the hippocampi of taxi drivers""</a>.&#32;<i>Proceedings of the National Academy of Sciences of the United States of America</i>&#32;<b>97</b>&#32;(8):  4398–403.&#32;doi:<a rel=""nofollow"" class=""external text"" href=""https://dx.doi.org/10.1073%2Fpnas.070039597"">10.1073/pnas.070039597</a>.&#32;PMID&#160;<a rel=""nofollow"" class=""external text"" href=""http://www.ncbi.nlm.nih.gov/pubmed/10716738"">10716738</a>.&#32;PMC&#160;<a rel=""nofollow"" class=""external text"" href=""http://www.pubmedcentral.gov/articlerender.fcgi?tool=pmcentrez&amp;artid=18253"">18253</a><span class=""printonly"">.&#32;//www.ncbi.nlm.nih.gov/pmc/articles/PMC18253/</span>.</span><span class=""Z3988"" title=""ctx_ver=Z39.88-2004&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;rft.genre=article&amp;rft.atitle=Navigation-related+structural+change+in+the+hippocampi+of+taxi+drivers&amp;rft.jtitle=Proceedings+of+the+National+Academy+of+Sciences+of+the+United+States+of+America&amp;rft.aulast=Maguire+EA&amp;rft.au=Maguire+EA&amp;rft.au=Gadian+DG&amp;rft.au=Johnsrude+IS&amp;rft.au=Good+CD&amp;rft.au=Ashburner+J&amp;rft.au=Frackowiak+RS&amp;rft.au=Frith+CD&amp;rft.date=Apr+2000&amp;rft.volume=97&amp;rft.issue=8&amp;rft.pages=4398%E2%80%93403&amp;rft_id=info:doi/10.1073%2Fpnas.070039597&amp;rft_id=info:pmid/10716738&amp;rft_id=%2F%2Fwww.ncbi.nlm.nih.gov%2Fpmc%2Farticles%2FPMC18253%2F&amp;rfr_id=info:sid/en.wikipedia.org:WikiJournal_of_Medicine/The_Hippocampus""><span style=""display: none;"">&#160;</span></span></span>
"
The_Hippocampus.html,747,"<li id=""cite_note-Erickson2011-96""><span class=""mw-cite-backlink""><a href=""#cite_ref-Erickson2011_96-0"">↑</a></span> <span class=""reference-text""><span class=""citation Journal"">Erickson KI&#59;&#32;Voss MW&#59;&#32;Prakash RS&#59;&#32;Basak C&#59;&#32;Szabo A&#59;&#32;Chaddock L&#59;&#32;Kim JS&#59;&#32;Heo S&#32;<i>et al</i>.&#32;(Feb 2011).&#32;<a rel=""nofollow"" class=""external text"" href=""//www.ncbi.nlm.nih.gov/pmc/articles/PMC3041121/"">""Exercise training increases size of hippocampus and improves memory""</a>.&#32;<i>Proceedings of the National Academy of Sciences of the United States of America</i>&#32;<b>108</b>&#32;(7):  3017–3022.&#32;doi:<a rel=""nofollow"" class=""external text"" href=""https://dx.doi.org/10.1073%2Fpnas.1015950108"">10.1073/pnas.1015950108</a>.&#32;PMID&#160;<a rel=""nofollow"" class=""external text"" href=""http://www.ncbi.nlm.nih.gov/pubmed/21282661"">21282661</a>.&#32;PMC&#160;<a rel=""nofollow"" class=""external text"" href=""http://www.pubmedcentral.gov/articlerender.fcgi?tool=pmcentrez&amp;artid=3041121"">3041121</a><span class=""printonly"">.&#32;//www.ncbi.nlm.nih.gov/pmc/articles/PMC3041121/</span>.</span><span class=""Z3988"" title=""ctx_ver=Z39.88-2004&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;rft.genre=article&amp;rft.atitle=Exercise+training+increases+size+of+hippocampus+and+improves+memory&amp;rft.jtitle=Proceedings+of+the+National+Academy+of+Sciences+of+the+United+States+of+America&amp;rft.aulast=Erickson+KI&amp;rft.au=Erickson+KI&amp;rft.au=Voss+MW&amp;rft.au=Prakash+RS&amp;rft.au=Basak+C&amp;rft.au=Szabo+A&amp;rft.au=Chaddock+L&amp;rft.au=Kim+JS&amp;rft.au=Heo+S&amp;rft.au=Alves+H&amp;rft.date=Feb+2011&amp;rft.volume=108&amp;rft.issue=7&amp;rft.pages=3017%E2%80%933022&amp;rft_id=info:doi/10.1073%2Fpnas.1015950108&amp;rft_id=info:pmid/21282661&amp;rft_id=%2F%2Fwww.ncbi.nlm.nih.gov%2Fpmc%2Farticles%2FPMC3041121%2F&amp;rfr_id=info:sid/en.wikipedia.org:WikiJournal_of_Medicine/The_Hippocampus""><span style=""display: none;"">&#160;</span></span></span>
"
The_Hippocampus.html,807,"<li id=""cite_note-126""><span class=""mw-cite-backlink""><a href=""#cite_ref-126"">↑</a></span> <span class=""reference-text""><span class=""citation Journal"">Jacobs LF&#59;&#32;Gaulin SJ&#59;&#32;Sherry DF&#59;&#32;Hoffman GE&#32;(Aug 1990).&#32;<a rel=""nofollow"" class=""external text"" href=""//www.ncbi.nlm.nih.gov/pmc/articles/PMC54531/"">""Evolution of spatial cognition: sex-specific patterns of spatial behavior predict hippocampal size""</a>.&#32;<i>Proceedings of the National Academy of Sciences of the United States of America</i>&#32;<b>87</b>&#32;(16):  6349–52.&#32;doi:<a rel=""nofollow"" class=""external text"" href=""https://dx.doi.org/10.1073%2Fpnas.87.16.6349"">10.1073/pnas.87.16.6349</a>.&#32;PMID&#160;<a rel=""nofollow"" class=""external text"" href=""http://www.ncbi.nlm.nih.gov/pubmed/2201026"">2201026</a>.&#32;PMC&#160;<a rel=""nofollow"" class=""external text"" href=""http://www.pubmedcentral.gov/articlerender.fcgi?tool=pmcentrez&amp;artid=54531"">54531</a><span class=""printonly"">.&#32;//www.ncbi.nlm.nih.gov/pmc/articles/PMC54531/</span>.</span><span class=""Z3988"" title=""ctx_ver=Z39.88-2004&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;rft.genre=article&amp;rft.atitle=Evolution+of+spatial+cognition%3A+sex-specific+patterns+of+spatial+behavior+predict+hippocampal+size&amp;rft.jtitle=Proceedings+of+the+National+Academy+of+Sciences+of+the+United+States+of+America&amp;rft.aulast=Jacobs+LF&amp;rft.au=Jacobs+LF&amp;rft.au=Gaulin+SJ&amp;rft.au=Sherry+DF&amp;rft.au=Hoffman+GE&amp;rft.date=Aug+1990&amp;rft.volume=87&amp;rft.issue=16&amp;rft.pages=6349%E2%80%9352&amp;rft_id=info:doi/10.1073%2Fpnas.87.16.6349&amp;rft_id=info:pmid/2201026&amp;rft_id=%2F%2Fwww.ncbi.nlm.nih.gov%2Fpmc%2Farticles%2FPMC54531%2F&amp;rfr_id=info:sid/en.wikipedia.org:WikiJournal_of_Medicine/The_Hippocampus""><span style=""display: none;"">&#160;</span></span></span>
"
"The_United_States_of_America_is_a_country_composed_of_50_states,_a_federal_district,_five_major_self-governing_territories,_and_various_possessions.html",4,"<title>English-Chinese/The United States of America is a country composed of 50 states, a federal district, five major self-governing territories, and various possessions - Wikiversity</title>
"
